Source,Type,Value
FirstEnergy,mal_md5,381d3ba5fd446e53f1c71f05a2b97124382146b4c7f28884174334db7b347219
FirstEnergy,mal_md5,4b1cba57928e02665be444a51937228c4d7315ff5e08c13a03bd7c77eebdcf5e
FirstEnergy,mal_md5,cbd1634cf7c638f2faf5e3ec79137db6704ec9de8df798fc46aeeed38de3da9b
FirstEnergy,mal_file_name,betweenlogagent.exe
FirstEnergy,mal_file_name,Logagent.exe
FirstEnergy,mal_file_name,43d972.msi
FirstEnergy,mal_file_name,filelogagent.exe
FirstEnergy,mal_file_name,fileVSDB688.tmp
FirstEnergy,mal_file_name,ofDUser.dll
FirstEnergy,mal_file_name,Background.png
FirstEnergy,mal_file_name,asVSDB688.tmp
FirstEnergy,mal_file_name,maliciousDUser.dll
FirstEnergy,mal_file_name,nameVSDB688.tmp
FirstEnergy,mal_file_name,Thelogagent.exe
FirstEnergy,mal_file_name,alsoHijackingLib.dll
FirstEnergy,mal_file_name,namedlogagent.exe
FirstEnergy,mal_file_name,maliciouswsock32.dll
FirstEnergy,mal_file_name,realwsock32.dll
FirstEnergy,mal_file_name,Duser.dll
FirstEnergy,mal_file_name,Duser.Dll
FirstEnergy,mal_file_name,aslogagent.exe
FirstEnergy,mal_file_name,fileBackground.png
FirstEnergy,mal_file_name,DLLwsock32.dll
FirstEnergy,mal_file_name,thewsock32.dll
FirstEnergy,mal_file_name,VSDB688.tmp
FirstEnergy,mal_file_name,Wsock32.dll
FirstEnergy,mal_file_name,bylogagent.exe
FirstEnergy,mal_file_name,TPLink.exe
FirstEnergy,mal_file_name,4acbe3.msi
FirstEnergy,mal_file_name,calledtplink.exe
FirstEnergy,mal_file_name,HijackingLib.dll
FirstEnergy,mal_file_name,DUser.dll
FirstEnergy,mal_file_name,fromwsock32.dll
FirstEnergy,mal_file_name,T1593.001
FirstEnergy,mal_file_name,bywsock32.dll
FirstEnergy,mal_file_name,ofwsock32.dll
FirstEnergy,mal_file_name,legitimatewsock32.dll
FirstEnergy,mal_file_name,andwsock32.dll
FirstEnergy,mal_file_name,TPLink.Exe
FirstEnergy,mal_domain,namestrainservice.com
FirstEnergy,mal_md5,52ff8adb6e941e2ce41fd038063c5e0e
FirstEnergy,mal_md5,8c4fb0cb671dbf8d859b875244c4730c
FirstEnergy,mal_md5,ff102ff1ac1c891d1f5be7294035d19e
FirstEnergy,mal_md5,8400f2674892cdfff27b0dfe98a2a77673ce5e76b06438ac6110f0d768459942
FirstEnergy,mal_md5,82e67114d632795edf29ce1d50a4c1c444846d9e16cd121ce26e63c8dc4a1629
FirstEnergy,mal_md5,ea31e626368b923419e8966747ca33473e583376095c48e815916ff90382dda5
FirstEnergy,mal_md5,96321fa09a450119a8f0418ec86c3e08
FirstEnergy,mal_file_name,CVE-2024-7971.On
FirstEnergy,mal_file_name,attachments.Turn
FirstEnergy,mal_file_name,actors.Once
FirstEnergy,mal_file_name,access.Gen
FirstEnergy,mal_file_name,inappid.sys
FirstEnergy,mal_file_name,theAFD.sys
FirstEnergy,mal_file_name,variants.Turn
FirstEnergy,mal_domain,workspace.search
FirstEnergy,mal_domain,voyagorclub.space
FirstEnergy,mal_domain,weinsteinfrog.com
FirstEnergy,mal_domain,endpoint.run
FirstEnergy,mal_domain,domainvoyagorclub.space
FirstEnergy,mal_domain,connectednetworks.name
FirstEnergy,mal_file_name,attacks.Who
FirstEnergy,mal_file_name,M25.011
FirstEnergy,mal_file_name,0-2.55
FirstEnergy,mal_file_name,T1027.009
FirstEnergy,mal_file_name,T1036.005
FirstEnergy,mal_file_name,T1583.001
FirstEnergy,mal_file_name,T1059.005
FirstEnergy,mal_md5,d9add2bfdfebfa235575687de356f0cefb3e4c55964c4cb8bfdcdc58294eeaca
FirstEnergy,mal_md5,eee4e3612af96b694e28e3794c4ee4af2579768e8ec6b21daf71acfc6e22d52b
FirstEnergy,mal_md5,90b0a4c9fe8fd0084a5d50ed781c7c8908f6ade44e5654acffea922e281c6b33
FirstEnergy,mal_md5,a2d3c41e6812044573a939a51a22d659ec32aea00c26c1a2fdf7466f5c7e1ee9
FirstEnergy,mal_md5,abca3253c003af67113f83df2242a7078d5224870b619489015e4fde060acad0
FirstEnergy,mal_md5,2e8d2525a523b0a47a22a1e9cc9219d6526840d8b819d40d24046b17db8ea3fb
FirstEnergy,mal_md5,17e6189c19dedea678969e042c64de2a51dd9fba69ff521571d63fd92e48601b
FirstEnergy,mal_md5,e5980e18319027f0c28cd2f581e75e755a0dace72f10748852ba5f63a0c99487
FirstEnergy,mal_file_name,comparision.xls
FirstEnergy,mal_file_name,logagent.exe
FirstEnergy,mal_domain,strainservice.com
FirstEnergy,mal_md5,0296e2ce999e67c76352613a718e11516fe1b0efc3ffdb8918fc999dd76a73a5
FirstEnergy,mal_domain,environments.microsoft
FirstEnergy,mal_file_name,wsock32.dll
